TID,Module,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Status,Executed QA Name,Misc (Comments),Priority,Is Automated
TID_0037,Login,[Valid] Login test case 37 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0038,Login,[Valid] Login test case 38 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0039,Login,[Valid] Login test case 39 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,Yes
TID_0040,Login,[Valid] Login test case 40 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0041,Login,[Valid] Login test case 41 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0042,Login,[Valid] Login test case 42 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
TID_0043,Login,[Valid] Login test case 43 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0044,Login,[Valid] Login test case 44 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0045,Login,[Valid] Login test case 45 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,Yes
TID_0046,Login,[Valid] Login test case 46 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0047,Login,[Valid] Login test case 47 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0048,Login,[Valid] Login test case 48 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,Yes
TID_0049,Login,[Valid] Login test case 49 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0050,Login,[Valid] Login test case 50 - verify successful flow,User has valid credentials / data for Login module,"1. Navigate to Login section
2. Enter valid inputs
3. Submit the form / perform action",Login operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0051,Login,[Invalid] Login test case 1 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,Yes
TID_0052,Login,[Invalid] Login test case 2 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0053,Login,[Invalid] Login test case 3 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0054,Login,[Invalid] Login test case 4 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,Yes
TID_0055,Login,[Invalid] Login test case 5 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0056,Login,[Invalid] Login test case 6 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0057,Login,[Invalid] Login test case 7 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,Yes
TID_0058,Login,[Invalid] Login test case 8 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0059,Login,[Invalid] Login test case 9 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0060,Login,[Invalid] Login test case 10 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,Yes
TID_0061,Login,[Invalid] Login test case 11 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0062,Login,[Invalid] Login test case 12 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0063,Login,[Invalid] Login test case 13 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,Yes
TID_0064,Login,[Invalid] Login test case 14 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0065,Login,[Invalid] Login test case 15 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0066,Login,[Invalid] Login test case 16 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,Yes
TID_0067,Login,[Invalid] Login test case 17 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0068,Login,[Invalid] Login test case 18 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0069,Login,[Invalid] Login test case 19 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,Yes
TID_0070,Login,[Invalid] Login test case 20 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0071,Login,[Invalid] Login test case 21 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0072,Login,[Invalid] Login test case 22 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,Yes
TID_0073,Login,[Invalid] Login test case 23 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0074,Login,[Invalid] Login test case 24 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0075,Login,[Invalid] Login test case 25 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,Yes
TID_0076,Login,[Invalid] Login test case 26 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0077,Login,[Invalid] Login test case 27 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0078,Login,[Invalid] Login test case 28 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,Yes
TID_0079,Login,[Invalid] Login test case 29 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0080,Login,[Invalid] Login test case 30 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0081,Login,[Invalid] Login test case 31 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,Yes
TID_0082,Login,[Invalid] Login test case 32 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0083,Login,[Invalid] Login test case 33 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0084,Login,[Invalid] Login test case 34 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,Yes
TID_0085,Login,[Invalid] Login test case 35 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0086,Login,[Invalid] Login test case 36 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0087,Login,[Invalid] Login test case 37 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,Yes
TID_0088,Login,[Invalid] Login test case 38 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0089,Login,[Invalid] Login test case 39 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0090,Login,[Invalid] Login test case 40 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,Yes
TID_0091,Login,[Invalid] Login test case 41 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0092,Login,[Invalid] Login test case 42 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0093,Login,[Invalid] Login test case 43 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,Yes
TID_0094,Login,[Invalid] Login test case 44 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0095,Login,[Invalid] Login test case 45 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,No
TID_0096,Login,[Invalid] Login test case 46 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,Yes
TID_0097,Login,[Invalid] Login test case 47 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P1,No
TID_0098,Login,[Invalid] Login test case 48 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P2,No
TID_0099,Login,[Invalid] Login test case 49 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P3,Yes
TID_0100,Login,[Invalid] Login test case 50 - verify error handling,User has invalid / boundary / malformed data for Login module,"1. Navigate to Login section
2. Enter invalid / boundary inputs
3. Submit the form / perform action","Appropriate error message shown, system remains stable, no crash",,Not Executed,QA_Team,,P0,No
TID_0101,Registration,[Valid] Registration test case 1 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0102,Registration,[Valid] Registration test case 2 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
TID_0103,Registration,[Valid] Registration test case 3 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0104,Registration,[Valid] Registration test case 4 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0105,Registration,[Valid] Registration test case 5 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,Yes
TID_0106,Registration,[Valid] Registration test case 6 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0107,Registration,[Valid] Registration test case 7 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,No
TID_0108,Registration,[Valid] Registration test case 8 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,Yes
TID_0109,Registration,[Valid] Registration test case 9 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0110,Registration,[Valid] Registration test case 10 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,No
TID_0111,Registration,[Valid] Registration test case 11 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P3,Yes
TID_0112,Registration,[Valid] Registration test case 12 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P0,No
TID_0113,Registration,[Valid] Registration test case 13 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P1,No
TID_0114,Registration,[Valid] Registration test case 14 - verify successful flow,User has valid credentials / data for Registration module,"1. Navigate to Registration section
2. Enter valid inputs
3. Submit the form / perform action",Registration operation completes successfully with expected confirmation,,Not Executed,QA_Team,,P2,Yes
